Employee Code,AttendanceDate,InTime, OutTime
38,5/20/2017,00:00,00:00
39,5/20/2017,00:00,00:00
40,5/20/2017,03:30,18:51
42,5/20/2017,00:00,00:00
43,5/20/2017,09:28,19:00
44,5/20/2017,10:25,10:25
45,5/20/2017,09:19,09:19
46,5/20/2017,10:12,10:12
47,5/20/2017,11:15,17:05
48,5/20/2017,10:16,17:35
49,5/20/2017,09:16,19:18
50,5/20/2017,00:00,00:00
51,5/20/2017,09:29,19:18
52,5/20/2017,00:00,00:00
T1,5/20/2017,00:00,00:00
T2,5/20/2017,00:00,00:00
T3,5/20/2017,00:00,00:00
1,5/19/2017,09:52,18:29
2,5/19/2017,09:46,17:33
3,5/19/2017,11:32,11:32
4,5/19/2017,00:00,00:00
5,5/19/2017,09:28,17:12
6,5/19/2017,09:48,09:48
8,5/19/2017,09:28,09:28
13,5/19/2017,00:00,00:00
14,5/19/2017,13:00,22:09
15,5/19/2017,10:10,19:17
18,5/19/2017,09:44,17:31
21,5/19/2017,09:16,17:56
22,5/19/2017,10:36,18:18
24,5/19/2017,09:39,17:57
26,5/19/2017,09:30,09:30
29,5/19/2017,00:00,00:00
30,5/19/2017,00:00,00:00
31,5/19/2017,00:00,00:00
32,5/19/2017,00:00,00:00
36,5/19/2017,11:33,21:36
37,5/19/2017,09:30,17:41
38,5/19/2017,00:00,00:00
39,5/19/2017,09:29,18:02
40,5/19/2017,03:30,18:52
42,5/19/2017,00:00,00:00
43,5/19/2017,09:13,19:17
44,5/19/2017,10:19,18:28
45,5/19/2017,09:17,18:03
46,5/19/2017,10:02,17:32
47,5/19/2017,09:56,20:12
48,5/19/2017,08:58,18:55
49,5/19/2017,00:00,00:00
50,5/19/2017,00:00,00:00
51,5/19/2017,09:32,17:59
52,5/19/2017,18:57,03:30
T1,5/19/2017,00:00,00:00
T2,5/19/2017,00:00,00:00
T3,5/19/2017,00:00,00:00
1,5/18/2017,09:51,18:04
2,5/18/2017,09:53,18:45
3,5/18/2017,03:00,10:44
4,5/18/2017,11:46,11:46
5,5/18/2017,09:27,19:00
6,5/18/2017,09:40,17:12
8,5/18/2017,09:26,18:59
13,5/18/2017,00:00,00:00
14,5/18/2017,00:00,00:00
15,5/18/2017,10:06,18:36
18,5/18/2017,09:54,17:42
21,5/18/2017,09:27,09:27
22,5/18/2017,09:51,18:59
24,5/18/2017,09:30,17:42
26,5/18/2017,09:19,18:09
29,5/18/2017,00:00,00:00
30,5/18/2017,00:00,00:00
31,5/18/2017,00:00,00:00
32,5/18/2017,00:00,00:00
36,5/18/2017,21:58,21:58
37,5/18/2017,09:19,18:12
38,5/18/2017,00:00,00:00
39,5/18/2017,09:19,09:19
40,5/18/2017,18:43,18:43
42,5/18/2017,00:00,00:00
43,5/18/2017,09:05,18:45
44,5/18/2017,00:00,00:00
45,5/18/2017,09:15,18:16
46,5/18/2017,09:43,09:43
47,5/18/2017,09:00,20:07
48,5/18/2017,09:26,17:49
49,5/18/2017,12:58,20:55
50,5/18/2017,00:00,00:00
51,5/18/2017,09:23,18:11
52,5/18/2017,18:58,03:31
T1,5/18/2017,00:00,00:00
T2,5/18/2017,00:00,00:00
T3,5/18/2017,00:00,00:00
1,5/17/2017,09:48,18:15
2,5/17/2017,00:00,00:00
3,5/17/2017,00:00,00:00
4,5/17/2017,11:58,03:00
5,5/17/2017,09:35,18:38
6,5/17/2017,09:56,15:57
8,5/17/2017,09:36,18:36
13,5/17/2017,13:04,19:18
14,5/17/2017,00:00,00:00
15,5/17/2017,10:06,18:24
18,5/17/2017,09:39,17:38
21,5/17/2017,09:28,19:21
22,5/17/2017,10:01,18:26
24,5/17/2017,09:34,17:40
26,5/17/2017,09:25,09:25
29,5/17/2017,19:03,03:50
30,5/17/2017,00:00,00:00
31,5/17/2017,00:00,00:00
